"column","pair_type","rate_metric","direction","n_genes","rho","p_value"
"ds_sm_flessAccel","sm","ds","Accel",9477,-0.0303,0.00314650594245554
"ds_sm_flessDecel","sm","ds","Decel",9477,0.0331,0.00126437943017903
"dn_sm_flessAccel","sm","dn","Accel",5146,0.0157,0.260601170480059
"dn_sm_flessDecel","sm","dn","Decel",5146,-0.0128,0.359049481864963
"dnds_sm_flessAccel","sm","dnds","Accel",5250,0.0233,0.0912368875052043
"dnds_sm_flessDecel","sm","dnds","Decel",5250,-0.0178,0.198248012791665
"ds_similar_flessAccel","similar","ds","Accel",9094,-0.0228,0.029475808816288
"ds_similar_flessDecel","similar","ds","Decel",9094,0.0312,0.00291316741990379
"dn_similar_flessAccel","similar","dn","Accel",4677,-0.0203,0.165945289250583
"dn_similar_flessDecel","similar","dn","Decel",4677,0.0265,0.0702567912171284
"dnds_similar_flessAccel","similar","dnds","Accel",4717,0.0041,0.779003231963218
"dnds_similar_flessDecel","similar","dnds","Decel",4717,1e-04,0.993413373262689
"ds_fless_flessAccel","fless","ds","Accel",8011,-0.016,0.152227150666715
"ds_fless_flessDecel","fless","ds","Decel",8011,0.0222,0.0470811773386511
"dn_fless_flessAccel","fless","dn","Accel",4501,0.0108,0.467998499186659
"dn_fless_flessDecel","fless","dn","Decel",4501,-0.0061,0.681296316453565
"dnds_fless_flessAccel","fless","dnds","Accel",4310,-0.0168,0.271582490840504
"dnds_fless_flessDecel","fless","dnds","Decel",4310,0.0219,0.150176757300232
