"rate","category","direction","D_plus","perm_p_Dp","D_twosided","perm_p_D"
"ds","similar","Accel",0,1,0.228,0.8452
"ds","similar","Decel",0.0118,0.8372,0.1132,0.6044
"ds","sm","Accel",0,1,0.4599,0.039
"ds","sm","Decel",0.2526,0.038,0.2526,0.046
"ds","fless","Accel",0,1,0.2265,0.8072
"ds","fless","Decel",0,1,0.1479,0.4585
"dn","similar","Accel",0,1,0.2511,0.8442
"dn","similar","Decel",0.0341,0.8302,0.0993,0.6953
"dn","sm","Accel",0,1,0.4438,0.028
"dn","sm","Decel",0.2344,0.028,0.2344,0.031
"dn","fless","Accel",0,1,0.2407,0.8442
"dn","fless","Decel",0.007,0.8432,0.1334,0.5205
"dnds","similar","Accel",0,1,0.1964,0.4645
"dnds","similar","Decel",4e-04,0.1439,0.1468,0.6444
"dnds","sm","Accel",0,1,0.1891,0.6773
"dnds","sm","Decel",0,1,0.1672,0.2977
"dnds","fless","Accel",0,1,0.1995,0.5085
"dnds","fless","Decel",0,1,0.1701,0.4046
