"","Species.ID","Order","Species.name","IUCN.name","Tree.name","HWI","Sample.size","Body.mass..log.","Range.Size","Island","Migration.1","Migration.2","Migration.3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","Synonym","Notes","meanHWI_martin","meanBMg_martin"
"RHEPEN",10050,"Rheiformes","Rhea pennata","Rhea pennata","Rhea_pennata",0.016167494,4,4.378397901,130,0,"Not a Migrant",1,"resident","none","omnivore",3,-35.79,9.135526977,24.10852616,255.8050928,34.73229094,NA,NA,0.016,23450
"TINGUT",10004,"Tinamiformes","Tinamus guttatus","Tinamus guttatus","Tinamus_guttatus",26.40499811,4,2.836438056,381,0,"Not a Migrant",1,"resident","weak","fruit",1,-5.54,25.53861053,13.4907001,2339.027287,254.2953604,NA,NA,23.336,530.87
"CHATOR",10358,"Anseriformes","Chauna torquata","Chauna torquata","Chauna_torquata",35.29093042,4,3.643452676,337,0,"Not a Migrant",1,"resident","strong","plants",3,-24.29,21.21164537,22.10507517,1211.327221,140.5682221,NA,NA,34.311,3369.21
"ANAPLA",10441,"Anseriformes","Anas platyrhynchos","Anas platyrhynchos","Anas_platyrhynchos",50.77664373,4,2.926043895,4330,0.025404157,"Full Migrant",2,"directional migratory","none","omnivore",3,49.28,3.379222817,40.49843354,542.2088177,63.94782641,NA,NA,45.471,1443.6
"GALGAL",10314,"Galliformes","Gallus gallus","Gallus gallus","Gallus_gallus",23.21714883,4,2.876056105,399,0.050125313,"Not a Migrant",1,"resident","weak","omnivore",1,13.7,23.50574193,18.53666241,1861.5042,324.0116573,NA,NA,25.339,438.57
"COTJAP",10262,"Galliformes","Coturnix japonica","Coturnix japonica","Coturnix_japonica",39.35244499,4,1.976716704,465,0.04516129,"Full Migrant",3,"directional migratory","none","plants",3,46.52,1.84543268,47.68283048,784.4334667,135.5586042,NA,NA,25.449,608.47
"MELGAL",10174,"Galliformes","Meleagris gallopavo","Meleagris gallopavo","Meleagris_gallopavo",25.98130925,4,3.762781312,557,0,"Not a Migrant",1,"resident","none","omnivore",2,36.84,12.69016636,36.15446195,838.1662933,79.52642738,NA,NA,26.276,5658.18
"TYMCUP",10191,"Galliformes","Tympanuchus cupido","Tympanuchus cupido","Tympanuchus_cupido",42.68803845,4,2.939559186,66,0,"Not a Migrant",1,"resident","none","seeds",3,41.84,9.267988469,43.69047347,646.979102,80.53762092,NA,NA,37.438,1031.21
"PODPOD",10687,"Podicipediformes","Podilymbus podiceps","Podilymbus podiceps","Podilymbus_podiceps",34.00514456,7,2.614823422,2102,0.039010466,"Full Migrant",2,"directional migratory","strong","invertebrates",3,16.17,14.57976363,29.09229353,955.7529879,112.9292665,NA,NA,34.005,411.93
"PODCRI",10694,"Podicipediformes","Podiceps cristatus","Podiceps cristatus","Podiceps_cristatus",43.84020697,4,2.863893612,2226,0.004043127,"Full Migrant",1,"directional migratory","weak","vertebrates",3,30.11,10.04233436,35.10793746,508.0956994,64.21914081,NA,NA,37.042,555.74
