,species,comparison,compartype,comparsis
RHEPEN,RHEPEN,RHEPEN-TINGUT,FD,1
TINGUT,TINGUT,RHEPEN-TINGUT,FD,2
CHATOR,CHATOR,CHATOR-ANAPLA,SM,1
ANAPLA,ANAPLA,CHATOR-ANAPLA,SM,2
GALGAL,GALGAL,GALGAL-COTJAP,DV,1
COTJAP,COTJAP,GALGAL-COTJAP,DV,2
MELGAL,MELGAL,MELGAL-TYMCUP,DV,1
TYMCUP,TYMCUP,MELGAL-TYMCUP,DV,2
PODPOD,PODPOD,PODPOD-PODCRI,VV,2
PODCRI,PODCRI,PODPOD-PODCRI,VV,1
MESUNI,MESUNI,MESUNI-PTEGUT,DV,1
PTEGUT,PTEGUT,MESUNI-PTEGUT,DV,2
COLLIV,COLLIV,COLLIV-PATFAS,SM,1
PATFAS,PATFAS,COLLIV-PATFAS,SM,2
TAUERY,TAUERY,TAUERY-CORCON,VV,1
CORCON,CORCON,TAUERY-CORCON,VV,2
LOPRUF,LOPRUF,LOPRUF-CHLMAC,SM,1
CHLMAC,CHLMAC,LOPRUF-CHLMAC,SM,2
GEOCAL,GEOCAL,GEOCAL-CROSUL,DV,1
CROSUL,CROSUL,GEOCAL-CROSUL,DV,2
CEUAER,CEUAER,CEUAER-CUCCAN,SM,1
CUCCAN,CUCCAN,CEUAER-CUCCAN,SM,2
ANTCAR,ANTCAR,ANTCAR-CHOACU,VV,1
CHOACU,CHOACU,ANTCAR-CHOACU,VV,2
HEMCOM,HEMCOM,HEMCOM-CHAPEL,SM,1
CHAPEL,CHAPEL,HEMCOM-CHAPEL,SM,2
OREMEL,OREMEL,OREMEL-CALANN,SM,1
CALANN,CALANN,OREMEL-CALANN,SM,2
RHYJUB,RHYJUB,RHYJUB-PHALEP,DV,1
PHALEP,PHALEP,RHYJUB-PHALEP,DV,2
APTFOR,APTFOR,APTFOR-PELURI,FV,1
PELURI,PELURI,APTFOR-PELURI,FV,2
MESCAY,MESCAY,MESCAY-NIPNIP,SM,1
NIPNIP,NIPNIP,MESCAY-NIPNIP,SM,2
COCCOC,COCCOC,COCCOC-EGRGAR,SM,1
EGRGAR,EGRGAR,COCCOC-EGRGAR,SM,2
SCOUMB,SCOUMB,SCOUMB-PELCRI,SM,1
PELCRI,PELCRI,SCOUMB-PELCRI,SM,2
NANHAR,NANHAR,NANHAR-PHACAR,FV,1
PHACAR,PHACAR,NANHAR-PHACAR,FV,2
ATLROG,ATLROG,ATLROG-HELFUL,FV,1
HELFUL,HELFUL,ATLROG-HELFUL,FV,2
PSOCRE,PSOCRE,PSOCRE-BALREG,DV,1
BALREG,BALREG,PSOCRE-BALREG,DV,2
CHAVOC,CHAVOC,CHAVOC-CHAALE,VV,1
CHAALE,CHAALE,CHAVOC-CHAALE,VV,2
PINIMP,PINIMP,PINIMP-ALCTOR,FV,1
ALCTOR,ALCTOR,PINIMP-ALCTOR,FV,2
AQUCHR,AQUCHR,AQUCHR-HALALB,VV,1
HALALB,HALALB,AQUCHR-HALALB,VV,2
COLSTR,COLSTR,COLSTR-UROIND,VV,1
UROIND,UROIND,COLSTR-UROIND,VV,2
STROCC,STROCC,STROCC-TYTALB,VV,1
TYTALB,TYTALB,STROCC-TYTALB,VV,2
TROMEL,TROMEL,TROMEL-APAVIT,VV,1
APAVIT,APAVIT,TROMEL-APAVIT,VV,2
BUCABY,BUCABY,BUCABY-BUCRHI,VV,1
BUCRHI,BUCRHI,BUCABY-BUCRHI,VV,2
EURGUL,EURGUL,EURGUL-MERNUB,SM,1
MERNUB,MERNUB,EURGUL-MERNUB,SM,2
PICPUB,PICPUB,PICPUB-INDMAC,VV,1
INDMAC,INDMAC,PICPUB-INDMAC,VV,2
CARCRI,CARCRI,CARCRI-CHUBUR,VV,1
CHUBUR,CHUBUR,CARCRI-CHUBUR,VV,2
HERCAC,HERCAC,HERCAC-FALPER,SM,1
FALPER,FALPER,HERCAC-FALPER,SM,2
NESNOT,NESNOT,NESNOT-MELUND,SM,1
MELUND,MELUND,NESNOT-MELUND,SM,2
SCYSUP,SCYSUP,SCYSUP-CAMPRO,DV,1
CAMPRO,CAMPRO,SCYSUP-CAMPRO,DV,2
MANMAN,MANMAN,MANMAN-LEPCOR,VV,1
LEPCOR,LEPCOR,MANMAN-LEPCOR,VV,2
MENNOV,MENNOV,MENNOV-ATRCLA,DD,1
ATRCLA,ATRCLA,MENNOV-ATRCLA,DD,2
ORTSPA,ORTSPA,ORTSPA-POSRUF,DV,1
POSRUF,POSRUF,ORTSPA-POSRUF,DV,2
APHCOE,APHCOE,APHCOE-CORBRA,SM,1
CORBRA,CORBRA,APHCOE-CORBRA,SM,2
PANBIA,PANBIA,PANBIA-ALACHE,SM,1
ALACHE,ALACHE,PANBIA-ALACHE,SM,2
TAEGUT,TAEGUT,TAEGUT-LONSTR,VV,1
LONSTR,LONSTR,TAEGUT-LONSTR,VV,2
GEOFOR,GEOFOR,GEOFOR-NESACU,VV,1
NESACU,NESACU,GEOFOR-NESACU,VV,2
