ID,GALGAL,OUT-0003
1,GALGAL_R00001,-
2,GALGAL_R00002,-
3,GALGAL_R00003,ALCTOR_R03919
4,GALGAL_R00004,ALCTOR_R15244
5,GALGAL_R00005,ALCTOR_R03920
6,GALGAL_R00006,ALCTOR_R14117
7,GALGAL_R00007,ALCTOR_R02479
8,GALGAL_R00008,ALCTOR_R01098
9,GALGAL_R00009,ALCTOR_R09632
10,GALGAL_R00010,ALCTOR_R05293
11,GALGAL_R00011,ALCTOR_R05294
12,GALGAL_R00012,ALCTOR_R10343
13,GALGAL_R00013,ALCTOR_R10342
14,GALGAL_R00014,ALCTOR_R02972
15,GALGAL_R00015,ALCTOR_R08957
16,GALGAL_R00016,ALCTOR_R08958
17,GALGAL_R00017,ALCTOR_R02973
18,GALGAL_R00018,ALCTOR_R02974
19,GALGAL_R00019,ALCTOR_R02975
20,GALGAL_R00020,ALCTOR_R02978
21,GALGAL_R00021,ALCTOR_R04189
22,GALGAL_R00022,ALCTOR_R02799
23,GALGAL_R00023,ALCTOR_R05435
24,GALGAL_R00024,ALCTOR_R03693
25,GALGAL_R00025,ALCTOR_R01858
26,GALGAL_R00026,ALCTOR_R01859
27,GALGAL_R00027,ALCTOR_R12215
28,GALGAL_R00028,ALCTOR_R12216
29,GALGAL_R00029,-
30,GALGAL_R00030,ALCTOR_R08175
31,GALGAL_R00031,-
32,GALGAL_R00032,ALCTOR_R08249
33,GALGAL_R00033,ALCTOR_R08406
34,GALGAL_R00034,ALCTOR_R05587
35,GALGAL_R00035,ALCTOR_R02481
36,GALGAL_R00036,ALCTOR_R08385
37,GALGAL_R00037,ALCTOR_R05506
38,GALGAL_R00038,ALCTOR_R13596
39,GALGAL_R00039,ALCTOR_R04712
40,GALGAL_R00040,ALCTOR_R11118
41,GALGAL_R00041,ALCTOR_R09710
42,GALGAL_R00042,ALCTOR_R03855
43,GALGAL_R00043,ALCTOR_R03097
44,GALGAL_R00044,-
45,GALGAL_R00045,-
46,GALGAL_R00048,-
47,GALGAL_R00049,ALCTOR_R12217
48,GALGAL_R00050,ALCTOR_R08217
49,GALGAL_R00051,-
50,GALGAL_R00052,-
51,GALGAL_R00053,ALCTOR_R12918
52,GALGAL_R00054,ALCTOR_R12931
53,GALGAL_R00055,ALCTOR_R10058
54,GALGAL_R00056,-
55,GALGAL_R00059,-
56,GALGAL_R00063,ALCTOR_R08586
57,GALGAL_R00064,ALCTOR_R05608
58,GALGAL_R00065,ALCTOR_R08956
59,GALGAL_R00066,ALCTOR_R02976
60,GALGAL_R00067,-
61,GALGAL_R00068,ALCTOR_R07531
62,GALGAL_R00069,-
63,GALGAL_R00070,ALCTOR_R01024
64,GALGAL_R00071,ALCTOR_R05466
65,GALGAL_R00072,ALCTOR_R06893
66,GALGAL_R00073,ALCTOR_R10232
67,GALGAL_R00074,ALCTOR_R08600
68,GALGAL_R00076,ALCTOR_R13479
69,GALGAL_R00077,ALCTOR_R01424
70,GALGAL_R00078,ALCTOR_R08959
71,GALGAL_R00079,ALCTOR_R14830
72,GALGAL_R00080,-
73,GALGAL_R00081,-
74,GALGAL_R00082,ALCTOR_R03098
75,GALGAL_R00083,ALCTOR_R00807
76,GALGAL_R00084,ALCTOR_R04713
77,GALGAL_R00087,ALCTOR_R09711
78,GALGAL_R00088,ALCTOR_R13480
79,GALGAL_R00089,ALCTOR_R14028
80,GALGAL_R00090,ALCTOR_R14029
81,GALGAL_R00091,ALCTOR_R00732
82,GALGAL_R00092,ALCTOR_R00733
83,GALGAL_R00093,ALCTOR_R08227
84,GALGAL_R00094,ALCTOR_R10099
85,GALGAL_R00095,ALCTOR_R06988
86,GALGAL_R00096,ALCTOR_R08416
87,GALGAL_R00097,-
88,GALGAL_R00098,ALCTOR_R10035
89,GALGAL_R00099,-
90,GALGAL_R00100,-
91,GALGAL_R00101,ALCTOR_R03099
92,GALGAL_R00102,ALCTOR_R03100
93,GALGAL_R00103,ALCTOR_R03101
94,GALGAL_R00104,ALCTOR_R05690
95,GALGAL_R00105,ALCTOR_R11119
96,GALGAL_R00106,ALCTOR_R08250
97,GALGAL_R00107,ALCTOR_R09957
98,GALGAL_R00108,ALCTOR_R04228
99,GALGAL_R00109,ALCTOR_R05345
100,GALGAL_R00110,ALCTOR_R15102
101,GALGAL_R00111,ALCTOR_R02663
102,GALGAL_R00112,ALCTOR_R08218
103,GALGAL_R00113,-
104,GALGAL_R00114,-
105,GALGAL_R00115,ALCTOR_R12637
106,GALGAL_R00116,ALCTOR_R12218
107,GALGAL_R00117,ALCTOR_R04579
108,GALGAL_R00118,ALCTOR_R04580
109,GALGAL_R00119,ALCTOR_R04581
110,GALGAL_R00120,ALCTOR_R04582
111,GALGAL_R00121,-
112,GALGAL_R00122,ALCTOR_R05588
113,GALGAL_R00123,ALCTOR_R08455
114,GALGAL_R00124,ALCTOR_R05334
115,GALGAL_R00125,ALCTOR_R04714
116,GALGAL_R00126,ALCTOR_R10233
117,GALGAL_R00127,ALCTOR_R02977
118,GALGAL_R00129,ALCTOR_R04583
119,GALGAL_R00130,ALCTOR_R13952
120,GALGAL_R00131,ALCTOR_R10234
121,GALGAL_R00132,ALCTOR_R13481
122,GALGAL_R00134,-
123,GALGAL_R00135,-
124,GALGAL_R00136,-
125,GALGAL_R00137,ALCTOR_R09770
126,GALGAL_R00142,ALCTOR_R07383
127,GALGAL_R00144,ALCTOR_R07991
128,GALGAL_R00145,-
129,GALGAL_R00146,ALCTOR_R05891
130,GALGAL_R00147,ALCTOR_R12136
131,GALGAL_R00148,ALCTOR_R01226
132,GALGAL_R00149,-
133,GALGAL_R00150,-
134,GALGAL_R00151,ALCTOR_R01047
135,GALGAL_R00152,ALCTOR_R08922
136,GALGAL_R00153,-
137,GALGAL_R00154,-
138,GALGAL_R00155,ALCTOR_R12862
139,GALGAL_R00156,ALCTOR_R06090
140,GALGAL_R00157,ALCTOR_R13343
141,GALGAL_R00158,-
142,GALGAL_R00159,ALCTOR_R02272
143,GALGAL_R00160,ALCTOR_R02273
144,GALGAL_R00161,ALCTOR_R09904
145,GALGAL_R00162,ALCTOR_R00956
146,GALGAL_R00163,ALCTOR_R09729
147,GALGAL_R00164,ALCTOR_R12634
148,GALGAL_R00165,-
149,GALGAL_R00166,ALCTOR_R06316
150,GALGAL_R00167,-
151,GALGAL_R00168,ALCTOR_R07467
152,GALGAL_R00169,ALCTOR_R13457
153,GALGAL_R00170,ALCTOR_R13458
154,GALGAL_R00171,ALCTOR_R02256
155,GALGAL_R00172,ALCTOR_R03632
156,GALGAL_R00173,ALCTOR_R05127
157,GALGAL_R00174,ALCTOR_R09448
158,GALGAL_R00175,-
159,GALGAL_R00176,ALCTOR_R11955
160,GALGAL_R00177,ALCTOR_R06577
161,GALGAL_R00178,ALCTOR_R04405
162,GALGAL_R00179,ALCTOR_R04406
163,GALGAL_R00180,ALCTOR_R11904
164,GALGAL_R00181,ALCTOR_R10266
165,GALGAL_R00182,ALCTOR_R13564
166,GALGAL_R00183,ALCTOR_R13565
167,GALGAL_R00184,ALCTOR_R00688
168,GALGAL_R00185,ALCTOR_R11671
169,GALGAL_R00186,ALCTOR_R11672
170,GALGAL_R00187,ALCTOR_R13864
171,GALGAL_R00188,ALCTOR_R05637
172,GALGAL_R00189,ALCTOR_R00804
173,GALGAL_R00190,ALCTOR_R03055
174,GALGAL_R00191,ALCTOR_R11362
175,GALGAL_R00192,ALCTOR_R05843
176,GALGAL_R00193,ALCTOR_R05834
177,GALGAL_R00194,ALCTOR_R05835
178,GALGAL_R00195,ALCTOR_R13420
179,GALGAL_R00196,ALCTOR_R13419
180,GALGAL_R00197,ALCTOR_R00209
181,GALGAL_R00198,ALCTOR_R00210
182,GALGAL_R00199,ALCTOR_R00211
183,GALGAL_R00200,ALCTOR_R00853
184,GALGAL_R00201,ALCTOR_R05916
185,GALGAL_R00202,-
186,GALGAL_R00203,ALCTOR_R03595
187,GALGAL_R00204,ALCTOR_R10767
188,GALGAL_R00205,-
189,GALGAL_R00206,ALCTOR_R09399
190,GALGAL_R00207,-
191,GALGAL_R00208,ALCTOR_R13415
192,GALGAL_R00209,ALCTOR_R07774
193,GALGAL_R00210,ALCTOR_R10929
194,GALGAL_R00211,ALCTOR_R05409
195,GALGAL_R00212,ALCTOR_R13259
196,GALGAL_R00213,ALCTOR_R13260
197,GALGAL_R00214,ALCTOR_R12526
198,GALGAL_R00215,ALCTOR_R10268
199,GALGAL_R00216,-
200,GALGAL_R00217,ALCTOR_R10555
201,GALGAL_R00218,ALCTOR_R10556
202,GALGAL_R00219,ALCTOR_R10557
203,GALGAL_R00220,ALCTOR_R05317
204,GALGAL_R00221,-
205,GALGAL_R00222,ALCTOR_R01125
206,GALGAL_R00223,ALCTOR_R11911
207,GALGAL_R00224,ALCTOR_R06826
208,GALGAL_R00225,ALCTOR_R08369
209,GALGAL_R00226,ALCTOR_R01107
210,GALGAL_R00227,ALCTOR_R04533
211,GALGAL_R00228,ALCTOR_R09191
212,GALGAL_R00229,ALCTOR_R03145
213,GALGAL_R00230,ALCTOR_R14112
214,GALGAL_R00231,ALCTOR_R05706
215,GALGAL_R00232,-
216,GALGAL_R00233,ALCTOR_R15212
217,GALGAL_R00234,ALCTOR_R12948
218,GALGAL_R00235,ALCTOR_R05231
219,GALGAL_R00236,ALCTOR_R03164
220,GALGAL_R00237,ALCTOR_R08102
221,GALGAL_R00238,ALCTOR_R08103
222,GALGAL_R00239,ALCTOR_R08104
