"","ID","GALGAL","GOterm","fullgo"
"1","GALGAL_R00001",NA,NA,"                 NA"
"2","GALGAL_R00002","GALGAL_R00002",8,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0003707; steroid hormone receptor activity; function GO:0004887; thyroid hormone receptor activity; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0008270; zinc ion binding; function GO:0043565; sequence-specific DNA binding; function          NA"
"3","GALGAL_R00003","GALGAL_R00003",2,"GO:0008152; metabolic process; process GO:0016746; transferase activity, transferring acyl groups; function                NA"
"4","GALGAL_R00004","GALGAL_R00004",3,"GO:0004866; endopeptidase inhibitor activity; function GO:0005576; extracellular region; component GO:0005615; extracellular space; component               NA"
"5","GALGAL_R00005","GALGAL_R00005",2,"GO:0005524; ATP binding; function GO:0036402; proteasome-activating ATPase activity; function                NA"
"6","GALGAL_R00006",NA,NA,"                 NA"
"7","GALGAL_R00007","GALGAL_R00007",5,"GO:0004672; protein kinase activity; function GO:0004674; protein serine/threonine kinase activity; function GO:0005524; ATP binding; function GO:0005634; nucleus; component GO:0006468; protein phosphorylation; process             NA"
"8","GALGAL_R00008",NA,NA,"                 NA"
"9","GALGAL_R00009","GALGAL_R00009",2,"GO:0004379; glycylpeptide N-tetradecanoyltransferase activity; function GO:0006499; N-terminal protein myristoylation; process                NA"
"10","GALGAL_R00010",NA,NA,"                 NA"
"11","GALGAL_R00011",NA,NA,"                 NA"
"12","GALGAL_R00012","GALGAL_R00012",1,"GO:0051321; meiotic cell cycle; process                 NA"
"13","GALGAL_R00013","GALGAL_R00013",4,"GO:0005102; signaling receptor binding; function GO:0005576; extracellular region; component GO:0007275; multicellular organism development; process GO:0016055; Wnt signaling pathway; process              NA"
"14","GALGAL_R00014","GALGAL_R00014",2,"GO:0005634; nucleus; component GO:0006351; transcription, DNA-templated; process                NA"
"15","GALGAL_R00015","GALGAL_R00015",1,"GO:0003676; nucleic acid binding; function                 NA"
"16","GALGAL_R00016","GALGAL_R00016",1,"GO:0016791; phosphatase activity; function                 NA"
"17","GALGAL_R00017","GALGAL_R00017",2,"GO:0005179; hormone activity; function GO:0005576; extracellular region; component                NA"
"18","GALGAL_R00018","GALGAL_R00018",2,"GO:0000814; ESCRT II complex; component GO:0071985; multivesicular body sorting pathway; process                NA"
"19","GALGAL_R00019",NA,NA,"                 NA"
"20","GALGAL_R00020","GALGAL_R00020",3,"GO:0003677; DNA binding; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function               NA"
"21","GALGAL_R00021",NA,NA,"                 NA"
"22","GALGAL_R00022","GALGAL_R00022",6,"GO:0004175; endopeptidase activity; function GO:0004298; threonine-type endopeptidase activity; function GO:0005839; proteasome core complex; component GO:0019774; proteasome core complex, beta-subunit complex; component GO:0043161; proteasome-mediated ubiquitin-dependent protein catabolic process; process GO:0051603; proteolysis involved in cellular protein catabolic process; process            NA"
"23","GALGAL_R00023","GALGAL_R00023",1,"GO:0005515; protein binding; function                 NA"
"24","GALGAL_R00024","GALGAL_R00024",3,"GO:0004672; protein kinase activity; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process               NA"
"25","GALGAL_R00025","GALGAL_R00025",2,"GO:0005515; protein binding; function GO:0008270; zinc ion binding; function                NA"
"26","GALGAL_R00026","GALGAL_R00026",4,"GO:0003924; GTPase activity; function GO:0005525; GTP binding; function GO:0005622; intracellular; component GO:0007264; small GTPase mediated signal transduction; process              NA"
"27","GALGAL_R00027",NA,NA,"                 NA"
"28","GALGAL_R00028",NA,NA,"                 NA"
"29","GALGAL_R00029","GALGAL_R00029",4,"GO:0004672; protein kinase activity; function GO:0004674; protein serine/threonine kinase activity; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process              NA"
"30","GALGAL_R00030","GALGAL_R00030",3,"GO:0016021; integral component of membrane; component GO:0030913; paranodal junction assembly; process GO:0033270; paranode region of axon; component               NA"
"31","GALGAL_R00031","GALGAL_R00031",7,"GO:0000930; gamma-tubulin complex; component GO:0003924; GTPase activity; function GO:0005525; GTP binding; function GO:0005874; microtubule; component GO:0007017; microtubule-based process; process GO:0007020; microtubule nucleation; process GO:0031122; cytoplasmic microtubule organization; process           NA"
"32","GALGAL_R00032","GALGAL_R00032",1,"GO:0005515; protein binding; function                 NA"
"33","GALGAL_R00033","GALGAL_R00033",1,"GO:0005515; protein binding; function                 NA"
"34","GALGAL_R00034","GALGAL_R00034",1,"GO:0003779; actin binding; function                 NA"
"35","GALGAL_R00035","GALGAL_R00035",1,"GO:0005515; protein binding; function                 NA"
"36","GALGAL_R00036","GALGAL_R00036",1,"GO:0055085; transmembrane transport; process                 NA"
"37","GALGAL_R00037",NA,NA,"                 NA"
"38","GALGAL_R00038","GALGAL_R00038",2,"GO:0006508; proteolysis; process GO:0016805; dipeptidase activity; function                NA"
"39","GALGAL_R00039","GALGAL_R00039",3,"GO:0003677; DNA binding; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function               NA"
"40","GALGAL_R00040","GALGAL_R00040",2,"GO:0043984; histone H4-K16 acetylation; process GO:0072487; MSL complex; component                NA"
"41","GALGAL_R00041","GALGAL_R00041",2,"GO:0005622; intracellular; component GO:0042254; ribosome biogenesis; process                NA"
"42","GALGAL_R00042","GALGAL_R00042",4,"GO:0004672; protein kinase activity; function GO:0004713; protein tyrosine kinase activity; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process              NA"
