"locus","n_taxa","aitchison_var"
"GALGAL_R00001.c123.linsi",65,0.0082332392051065
"GALGAL_R00002.c123.linsi",5,0.00609151537818857
"GALGAL_R00003.c123.linsi",336,0.052822700522016
"GALGAL_R00004.c123.linsi",224,0.0102533411340928
"GALGAL_R00005.c123.linsi",332,0.0111824895403177
"GALGAL_R00006.c123.linsi",355,0.0333953786718309
"GALGAL_R00007.c123.linsi",356,0.00365159069418133
"GALGAL_R00008.c123.linsi",345,0.0207876746044604
"GALGAL_R00009.c123.linsi",353,0.00627367701896495
"GALGAL_R00010.c123.linsi",329,0.0166605929300276
"GALGAL_R00011.c123.linsi",314,0.0287697984394949
"GALGAL_R00012.c123.linsi",354,0.146347969145501
"GALGAL_R00013.c123.linsi",333,0.0215468151881518
"GALGAL_R00014.c123.linsi",193,0.0249040042701748
"GALGAL_R00015.c123.linsi",297,0.0431887275833781
"GALGAL_R00016.c123.linsi",343,0.0629083925976921
"GALGAL_R00017.c123.linsi",245,0.0484413837004249
"GALGAL_R00018.c123.linsi",281,0.0456076142696548
"GALGAL_R00019.c123.linsi",202,0.0235410985605807
"GALGAL_R00020.c123.linsi",157,0.0268981706824661
"GALGAL_R00021.c123.linsi",217,0.0322862545885827
"GALGAL_R00022.c123.linsi",322,0.0376490812958583
"GALGAL_R00023.c123.linsi",225,0.0272999495538255
"GALGAL_R00024.c123.linsi",198,0.0172432172396462
"GALGAL_R00025.c123.linsi",328,0.00507157193205859
"GALGAL_R00026.c123.linsi",348,0.0112116127495157
"GALGAL_R00027.c123.linsi",354,0.0152843472790442
"GALGAL_R00028.c123.linsi",358,0.0223748590232452
"GALGAL_R00029.c123.linsi",287,0.00934065423451995
"GALGAL_R00030.c123.linsi",323,0.00873649333577488
"GALGAL_R00031.c123.linsi",341,0.00389422476606476
"GALGAL_R00032.c123.linsi",343,0.0214914255614497
"GALGAL_R00033.c123.linsi",327,0.0158469513275256
"GALGAL_R00034.c123.linsi",257,0.0296442687170822
"GALGAL_R00035.c123.linsi",312,0.050450996581497
"GALGAL_R00036.c123.linsi",305,0.0303399688366644
"GALGAL_R00037.c123.linsi",202,0.0266989968072513
"GALGAL_R00038.c123.linsi",250,0.0129491475759602
"GALGAL_R00039.c123.linsi",263,0.0297595335242286
"GALGAL_R00040.c123.linsi",324,0.00670001363598384
"GALGAL_R00041.c123.linsi",260,0.0317876925136843
"GALGAL_R00042.c123.linsi",293,0.00770962507361754
"GALGAL_R00043.c123.linsi",339,0.00743404929811125
"GALGAL_R00044.c123.linsi",262,0.0268483708863614
"GALGAL_R00045.c123.linsi",5,0.010417583410481
"GALGAL_R00048.c123.linsi",312,0.00337761793801042
"GALGAL_R00049.c123.linsi",338,0.0118654299857106
"GALGAL_R00050.c123.linsi",357,0.00316558756270558
"GALGAL_R00051.c123.linsi",320,0.00645651167057704
"GALGAL_R00052.c123.linsi",63,0.0178040365371241
"GALGAL_R00053.c123.linsi",131,0.0039310042352064
"GALGAL_R00054.c123.linsi",294,0.0217330098831158
"GALGAL_R00055.c123.linsi",327,0.00463349460795072
"GALGAL_R00056.c123.linsi",196,0.0196488161480249
"GALGAL_R00059.c123.linsi",17,0.0209014814535137
"GALGAL_R00063.c123.linsi",317,0.0102132013548245
"GALGAL_R00064.c123.linsi",250,0.0322238453432808
"GALGAL_R00065.c123.linsi",191,0.0432184506065226
"GALGAL_R00066.c123.linsi",208,0.0166562440090066
"GALGAL_R00068.c123.linsi",320,0.00731038365617368
"GALGAL_R00069.c123.linsi",257,0.0147928639359121
"GALGAL_R00070.c123.linsi",304,0.0117442663232968
"GALGAL_R00071.c123.linsi",289,0.00512264046869489
"GALGAL_R00072.c123.linsi",239,0.0198895106744915
"GALGAL_R00073.c123.linsi",214,0.0119450684963305
"GALGAL_R00074.c123.linsi",327,0.0288303013681269
"GALGAL_R00076.c123.linsi",318,0.0134563830213699
"GALGAL_R00077.c123.linsi",305,0.0172472415925673
"GALGAL_R00078.c123.linsi",297,0.0216813023783442
"GALGAL_R00079.c123.linsi",338,0.0122522349166871
"GALGAL_R00080.c123.linsi",7,0.0190709334581865
"GALGAL_R00081.c123.linsi",292,0.0121571645053374
"GALGAL_R00082.c123.linsi",254,0.00814984826072449
"GALGAL_R00083.c123.linsi",273,0.0207026513846366
"GALGAL_R00084.c123.linsi",237,0.0231905622116128
"GALGAL_R00087.c123.linsi",222,0.0122477004108291
"GALGAL_R00088.c123.linsi",347,0.00911534858287373
"GALGAL_R00089.c123.linsi",351,0.0206638184912562
"GALGAL_R00090.c123.linsi",356,0.0130388610414045
"GALGAL_R00091.c123.linsi",349,0.0167358435274036
"GALGAL_R00092.c123.linsi",351,0.0147949171541716
"GALGAL_R00093.c123.linsi",351,0.00215004497228593
"GALGAL_R00094.c123.linsi",331,0.0254056314044153
"GALGAL_R00095.c123.linsi",327,0.0225889988592355
"GALGAL_R00096.c123.linsi",325,0.00671797668675109
"GALGAL_R00097.c123.linsi",232,0.028787347487556
"GALGAL_R00098.c123.linsi",305,0.0607122720705007
"GALGAL_R00099.c123.linsi",333,0.00599497543547116
"GALGAL_R00100.c123.linsi",129,0.0135042083245038
"GALGAL_R00101.c123.linsi",315,0.0141272358784054
"GALGAL_R00102.c123.linsi",339,0.0307729274170579
"GALGAL_R00103.c123.linsi",330,0.0126474148373349
